"source_file","disposition","canonical_cluster","destination_topic","destination_slug","page_type","status","review_notes"
"clsid_shelllocations_win8.txt","merge","windows-settings-shell-shortcuts","windows/shortcuts","/windows/shortcuts/settings-and-shell-shortcuts/","reference","published","Consolidate Settings URIs, shell namespace shortcuts, and shell folder references into one shortcut guide."
"ffmpeg templates_louis32.txt","merge","ffmpeg-conversion-frame-extraction","media/ffmpeg","/media/ffmpeg/conversion-and-frame-extraction/","template","published","Exact duplicate of LOU32HELP_REF_ffmpegtemplates.txt; treat as an alias-only inventory record."
"getscreendpi.txt","merge","windows-display-diagnostics","windows/display","/windows/display/display-diagnostics/","reference","published","Exact duplicate of LOU32HELP_getscreendpi.txt; treat as an alias-only inventory record."
"gmmap.txt","merge","core-midi-reference","midi/reference","/midi/reference/core-midi-reference/","reference","published","Fold MIDI basics, terminology, patch maps, and charts into one core MIDI reference."
"GoogleDorking.txt","merge","defensive-search-audit-reference","security/search","/security/search/defensive-search-audit-reference/","reference","draft","Rewrite search/dork material as defensive audit guidance and keep it in draft status."
"GOOGLEOPERATORS-EXAMPLES_REF.txt","merge","browser-search-operator-reference","browser-web/search","/browser-web/search/search-operator-reference/","reference","published","Keep benign search operator and browser search-provider notes in the browser search reference."
"HELP32_Get-ModuleExamples.txt","merge","powershell-console-profile-customization","powershell/profiles","/powershell/profiles/console-and-profile-customization/","template","published","Exact duplicate of LOU32HELP_Get-ModuleExamples.txt; treat as an alias-only inventory record."
"HELP32_LenovoFlex5_RegEdit_DisableTabletMode.txt","merge","windows-lenovo-tablet-sensor-fixes","windows/troubleshooting","/windows/troubleshooting/lenovo-tablet-mode-and-sensor-fixes/","troubleshooting","published","Consolidate Lenovo convertibility, tablet mode, and sensor-related fixes into one troubleshooting page."
"HELP32_PSProfileCustomizations.txt","merge","powershell-console-profile-customization","powershell/profiles","/powershell/profiles/console-and-profile-customization/","template","published","Exact duplicate of LOU32HELP_PSProfileCustomizations.txt; treat as an alias-only inventory record."
"localgrouppolicyonwin11home.txt","merge","windows-local-group-policy-home","windows/policy","/windows/policy/local-group-policy-editor-on-home/","recipe","published","Exact duplicate of LOU32HELP_localgrouppolicyonwin11home.txt; treat as an alias-only inventory record."
"LOU32HELP_7DeToolssecretsthatshouldntbesecrets.txt","merge","browser-devtools-and-tab-helpers","browser-web/chromium","/browser-web/chromium/devtools-and-tab-helpers/","reference","published","Exact duplicate of LOU32HELP_7DevToolssecretsthatshouldntbesecrets.txt; treat as an alias-only inventory record."
"LOU32HELP_7DevToolssecretsthatshouldntbesecrets.txt","merge","browser-devtools-and-tab-helpers","browser-web/chromium","/browser-web/chromium/devtools-and-tab-helpers/","reference","published","Group DevTools resources and Chromium tab helpers into one browser debugging page."
